run_kind,timeframe,strategy,pair,trades,winrate,profit_total_pct,profit_total_abs,profit_factor,max_drawdown_account,max_drawdown_abs,expectancy,expectancy_ratio,timerange,source
isolated,15m,MomentumMACD,TOTAL,196,0.22448979591836735,-23.22,-232.17513951,0.5746165001246252,0.29644820605938516,298.92147933,-1.1845670383163265,-0.329889244801311,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-30.zip
isolated,15m,MomentumMACD,TOTAL,211,0.23696682464454977,-20.27,-202.73342068,0.716848722646428,0.25833955092728395,268.57815191999987,-0.960821898957346,-0.21605381826504788,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-34.zip
isolated,15m,MomentumMACD,TOTAL,193,0.29533678756476683,-14.52,-145.21262111,0.8052469169375008,0.2324696434140663,239.17300407000002,-0.7523970005699487,-0.13723533314248648,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-39.zip
isolated,15m,SampleStrategy,BTC/USDT,16,0.9375,15.29,152.88136936,24.594842537104896,0.00558880381932706,6.4794401199999925,9.555085585000002,1.474677658569056,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-30.zip
isolated,15m,SampleStrategy,ETH/USDT,25,0.96,24.34,243.44064533000002,11.337502709659333,0.018586785885081045,23.54927028,9.737625813200001,0.4135001083863734,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-34.zip
isolated,15m,SampleStrategy,SOL/USDT,20,0.9,-3.09,-30.946546329999997,0.8492278782976369,0.13906538553878678,144.65998240000002,-1.5473273165000005,-0.015077212170236387,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-39.zip
isolated,15m,SampleStrategy,TOTAL,16,0.9375,15.29,152.88136936,24.594842537104896,0.00558880381932706,6.4794401199999925,9.555085585000002,1.474677658569056,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-30.zip
isolated,15m,SampleStrategy,TOTAL,25,0.96,24.34,243.44064533000002,11.337502709659333,0.018586785885081045,23.54927028,9.737625813200001,0.4135001083863734,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-34.zip
isolated,15m,SampleStrategy,TOTAL,20,0.9,-3.09,-30.946546329999997,0.8492278782976369,0.13906538553878678,144.65998240000002,-1.5473273165000005,-0.015077212170236387,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-39.zip
isolated,15m,SupertrendATR,BTC/USDT,140,0.2571428571428571,-15.77,-157.69884824999997,0.7225503237711288,0.2388304286199999,238.83042861999988,-1.126420344642857,-0.20610547377001864,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-30.zip
isolated,15m,SupertrendATR,ETH/USDT,150,0.32,-7.17,-71.67952651999997,0.9033660748043553,0.16623747738223685,177.16654254999997,-0.47786351013333306,-0.06571106913303837,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-34.zip
isolated,15m,SupertrendATR,SOL/USDT,170,0.28823529411764703,-25.46,-254.58526938,0.6968298747609171,0.2836979493581534,284.75617777999986,-1.4975604081176468,-0.21578579502311201,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-39.zip
isolated,15m,SupertrendATR,TOTAL,140,0.2571428571428571,-15.77,-157.69884824999997,0.7225503237711288,0.2388304286199999,238.83042861999988,-1.126420344642857,-0.20610547377001864,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-30.zip
isolated,15m,SupertrendATR,TOTAL,150,0.32,-7.17,-71.67952651999997,0.9033660748043553,0.16623747738223685,177.16654254999997,-0.47786351013333306,-0.06571106913303837,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-34.zip
isolated,15m,SupertrendATR,TOTAL,170,0.28823529411764703,-25.46,-254.58526938,0.6968298747609171,0.2836979493581534,284.75617777999986,-1.4975604081176468,-0.21578579502311201,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-39.zip
isolated,15m,TrendFollowingEMA,BTC/USDT,32,0.25,11.33,113.34831092999998,1.5240585227313233,0.06577066796246878,78.38082103999996,3.542134716562499,0.39304389204849244,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-30.zip
isolated,15m,TrendFollowingEMA,ETH/USDT,38,0.13157894736842105,-9.98,-99.76643515000002,0.6434155625686817,0.13909590145361847,145.45034625000002,-2.62543250394737,-0.309665432506145,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-34.zip
isolated,15m,TrendFollowingEMA,SOL/USDT,31,0.12903225806451613,-11.52,-115.21218480999998,0.6382815096551159,0.16023783301179423,168.82932782,-3.716522090645162,-0.31504513675199586,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-39.zip
isolated,15m,TrendFollowingEMA,TOTAL,32,0.25,11.33,113.34831092999998,1.5240585227313233,0.06577066796246878,78.38082103999996,3.542134716562499,0.39304389204849244,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-30.zip
isolated,15m,TrendFollowingEMA,TOTAL,38,0.13157894736842105,-9.98,-99.76643515000002,0.6434155625686817,0.13909590145361847,145.45034625000002,-2.62543250394737,-0.309665432506145,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-34.zip
isolated,15m,TrendFollowingEMA,TOTAL,31,0.12903225806451613,-11.52,-115.21218480999998,0.6382815096551159,0.16023783301179423,168.82932782,-3.716522090645162,-0.31504513675199586,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-35-39.zip
combined,5m,MomentumMACD,BTC/USDT,540,0.1574074074074074,-20.8,-208.0423214,0.2803624883089922,0.20804232140000012,208.04232140000008,-0.38526355814814817,-0.6063612367026084,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,MomentumMACD,ETH/USDT,531,0.1902071563088512,-20.43,-204.3316598,0.41229384751124487,0.20752435691193216,208.36042351,-0.38480538568738215,-0.475920236478653,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,MomentumMACD,SOL/USDT,486,0.2037037037037037,-19.95,-199.49877298,0.4710285249193346,0.2045619011668205,205.75627300999975,-0.41049130242798343,-0.42121802645312256,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,MomentumMACD,TOTAL,1557,0.18304431599229287,-61.19,-611.87275418,0.39652428232769715,0.6118727541799995,611.8727541799996,-0.3929818588182402,-0.49301291771301814,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,SampleStrategy,BTC/USDT,15,0.8666666666666667,-0.38,-3.8350396500000024,0.9154674270623109,0.033572005579999994,33.57200558,-0.25566930999999915,-0.01127100972502515,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,SampleStrategy,ETH/USDT,31,0.8709677419354839,3.23,32.26079164000001,1.5503261456356707,0.03384776085435185,34.07210636,1.0406706980645157,0.07100982524331245,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,SampleStrategy,SOL/USDT,34,0.9117647058823529,1.3,12.966625449999999,1.137369494143597,0.03381164835336557,34.9521235,0.3813713367647056,0.012120837718552657,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,SampleStrategy,TOTAL,80,0.8875,4.14,41.392377440000004,1.20865076836322,0.09861624937247725,102.59623544,0.5174047180000003,0.02347321144086223,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,SupertrendATR,BTC/USDT,608,0.18421052631578946,-22.1,-220.99661179,0.3514920899444709,0.22099661179000007,220.99661179000003,-0.3634812693914473,-0.5290459266242474,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,SupertrendATR,ETH/USDT,685,0.20437956204379562,-23.96,-239.59807919000002,0.45141146500447465,0.25044970650180187,253.65161025000006,-0.3497782177956205,-0.4364682504708923,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,SupertrendATR,SOL/USDT,788,0.2182741116751269,-26.76,-267.61944042,0.47600026132169493,0.27426656342469774,276.41223296999965,-0.3396185792131979,-0.40962416120029943,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,SupertrendATR,TOTAL,2081,0.20374819798173954,-72.82,-728.2141313999999,0.4347283318126276,0.7330269762812582,745.7264341500013,-0.3499347099471408,-0.4500985844240635,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,TrendFollowingEMA,BTC/USDT,104,0.16346153846153846,-6.04,-60.40183107,0.556919507742992,0.06602670745,66.02670745000002,-0.5807868372115383,-0.3706538733303816,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,TrendFollowingEMA,ETH/USDT,111,0.27927927927927926,-4.32,-43.182289600000004,0.7203634425781827,0.04827981853999995,48.27981853999997,-0.38902963603603613,-0.2015398612049134,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,TrendFollowingEMA,SOL/USDT,91,0.2087912087912088,-7.2,-71.97576372000002,0.5766181652873443,0.07197576372000003,71.97576371999999,-0.7909424584615381,-0.3349834296627604,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
combined,5m,TrendFollowingEMA,TOTAL,306,0.21895424836601307,-17.56,-175.55988439000004,0.6189671696820238,0.17555988438999998,175.55988439000004,-0.5737251123856207,-0.29760407335292915,2026-06-15 00:00:00 → 2026-09-14 00:00:00,backtest-result-2026-09-15_00-36-03.zip
